Image,Title,Rating,Price,Ad_Organic
https://m.media-amazon.com/images/I/71r2ySSfgBL._AC_UY218_.jpg,"HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop",4.2 out of 5 stars,"97,990",Organic
https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,"𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)",3.0 out of 5 stars,"32,890",Organic
https://m.media-amazon.com/images/I/51vIhMJreOL._AC_UY218_.jpg,"𝗗𝗲𝗹𝗹Model 5420 Touchscreen Laptop- Core i7 11th gen -512GB SSD- 16GB RAM - Sleek & Thin 14"" FHD -Win 10 Silver (Pre-Owned & Tested)",N/A,"35,899",Organic
https://m.media-amazon.com/images/I/71h+7L8gcrL._AC_UY218_.jpg,"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 256GB SSD | Windows 11 | 38Wh | 1.3kg | Grey",2.7 out of 5 stars,"16,990",Organic
https://m.media-amazon.com/images/I/71Go8vTBwXL._AC_UY218_.jpg,"HP 15, Intel Core 5 120U (14th Gen) 16GB DDR4, 512GB SSD, FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office24, Silver,1.59kg, FD0640TU/682tu, FHD Camera w/Shutter, BL Laptop",4.0 out of 5 stars,"64,990",Organic
https://m.media-amazon.com/images/I/71vhdLDaDQL._AC_UY218_.jpg,"HP 14 Smartchoice, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1180TU, FHD Camera, Backlit Laptop",3.6 out of 5 stars,"76,990",Organic
https://m.media-amazon.com/images/I/71FJAKQJ0JL._AC_UY218_.jpg,"Dell G Series, 13th Gen Intel Core i5-13450HX, NVIDIA RTX 3050-6GB, 16GB DDR5, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, 2.65KG, G15-5530, Backlit Keyboard, Gaming Laptop",4.0 out of 5 stars,"76,990",Organic
https://m.media-amazon.com/images/I/81Be1f26lVL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3, Intel Core i3 13th Gen 1315U, 8GB RAM, 512GB SSD, FHD 15.6""(39.6cm), Windows 11, Office 2024, Grey, 1.6Kg, 82X700G5IN, Alexa Built-in, 1Yr ADP Free, 3 Month Game Pass Laptop",4.0 out of 5 stars,"47,490",Organic
https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg,"HP 255R G10 Notebook (AMD Athlon Silver 7120U /8GB/512GB/DOS) 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, Silver,1.52kg",N/A,"39,850",Organic
https://m.media-amazon.com/images/I/61vulbzLZcL._AC_UY218_.jpg,"HP 15, Intel Core i3-1315U-13th Gen Laptop (8GB DDR4 Ram,512GB SSD) Anti-Glare, Micro-Edge,15.6'"" FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera Shutter, 15-fd0569TU",4.0 out of 5 stars,"49,490",Organic
